date,n_contracts,front_carry,back_carry,inversion,hump_or_u_shape,material_slope_sign_changes,one_factor_shape_limitation
2024-06-05,4,0.16034892380878507,0.09707824952186117,True,False,0,False
2024-06-06,4,0.152631574620612,0.09584509142482212,True,False,0,False
2024-06-07,4,0.21775566153279696,0.10011669319583036,True,False,0,False
2024-06-11,4,0.1605648521210548,0.09675177863045811,True,False,0,False
2024-06-12,4,0.254462510383181,0.10416259234958127,True,False,0,False
2024-06-13,4,0.2646948836326092,0.10926198272846385,True,False,0,False
2024-06-14,3,0.11369844325800114,0.09512563342663476,True,False,0,False
2024-06-17,3,0.12753246535226467,0.09993741669142761,True,False,0,False
2024-06-18,3,0.1091092131015176,0.09272946935677738,True,False,0,False
2024-06-19,3,0.13066850773984784,0.10007682407146531,True,False,0,False
2024-06-20,3,0.13722226668164764,0.10134994615046002,True,False,0,False
2024-06-21,3,0.16145404168970134,0.10404242751822038,True,False,0,False
2024-06-24,4,0.15607627654271056,0.10824294566756347,True,False,0,False
2024-06-25,4,0.12409304163836665,0.10435392240292414,True,False,0,False
2024-06-26,4,0.10636013068518536,0.09824909496694768,True,True,1,True
2024-06-27,4,0.10546487198116788,0.09933749502073644,True,True,2,True
2024-06-28,4,0.16281668805713037,0.1053512236713794,True,False,0,False
2024-07-01,4,0.1807712769469041,0.10646171700152363,True,False,0,False
2024-07-02,4,0.1748068238235791,0.10820179195788339,True,False,0,False
2024-07-03,4,0.16046520633520425,0.10700222489697236,True,False,0,False
2024-07-04,4,0.16763714144034725,0.11084893756542731,True,False,0,False
2024-07-05,4,0.1798769758203795,0.10943494112731149,True,False,0,False
2024-07-08,4,0.19343823026889428,0.11593215940864308,True,False,0,False
2024-07-09,4,0.208303091257436,0.11185513463410934,True,False,0,False
2024-07-10,4,0.15789306605995768,0.10531231062245552,True,False,0,False
2024-07-11,4,0.11546084807097708,0.09864909896523083,True,False,0,False
2024-07-12,3,0.11661901312416785,0.09847298007571699,True,False,0,False
2024-07-15,3,0.14499190997063585,0.10782656875902406,True,False,0,False
2024-07-16,3,0.16269021282138674,0.11454531811548485,True,False,0,False
2024-07-17,3,0.16728653527098017,0.11989193657521804,True,False,0,False
2024-07-18,3,0.14908478595183117,0.11461880021734978,True,False,0,False
2024-07-19,3,0.17811312213366604,0.11765793902459772,True,False,0,False
2024-07-22,4,0.1764409444978774,0.10690156462906221,True,False,0,False
2024-07-23,4,0.2174923535027387,0.1150352780862089,True,False,0,False
2024-07-24,4,0.2037205518237154,0.11572184749382465,True,False,0,False
2024-07-25,4,0.19069918381714013,0.11359766590291868,True,False,0,False
2024-07-26,4,0.14418015360866365,0.10807652657189028,True,False,0,False
2024-07-29,4,0.18987513874756856,0.11516368941476468,True,False,0,False
2024-07-30,4,0.20048465571551013,0.11359328882572214,True,False,0,False
2024-07-31,4,-0.010601802597960721,0.08240708246600364,False,False,0,False
2024-08-01,4,0.10005591925551534,0.0940459390974707,True,True,1,True
2024-08-02,4,0.10084484943401929,0.09787307936297261,True,True,1,True
2024-08-05,4,0.06141138093555545,0.09818246475608636,False,True,1,True
2024-08-06,4,0.14364152422237203,0.10077551336936333,True,False,0,False
2024-08-07,4,0.1938410224410432,0.10760394080337757,True,False,0,False
2024-08-08,4,0.052569947126460154,0.0982252759437238,False,True,1,True
2024-08-09,3,0.14684057166167058,0.10797599467804087,True,False,0,False
2024-08-12,3,0.1110006248308278,0.10008569455233118,True,False,0,False
2024-08-13,3,0.1317763034926558,0.10277768684613833,True,False,0,False
2024-08-14,3,0.13796375341056485,0.10795184899826467,True,False,0,False
