date,open,high,low,close,volume,hold,settle,contract,expiry,expiry_source
2023-12-25,5725.2,5755.0,5682.4,5717.6,37888,81248,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-26,5711.4,5711.4,5619.6,5636.6,41911,84435,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-27,5654.6,5689.6,5616.0,5673.0,44291,85714,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-28,5659.0,5818.8,5642.6,5803.4,59871,85970,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-29,5799.0,5903.2,5798.6,5894.8,49489,80879,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-02,5895.0,5902.0,5832.0,5833.6,34421,77941,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-03,5818.0,5852.6,5766.0,5809.4,39674,77490,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-04,5800.0,5802.2,5730.0,5765.2,43701,76857,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-05,5751.0,5780.0,5645.2,5664.8,49324,78064,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-08,5649.0,5653.6,5462.6,5480.2,63475,84117,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-09,5504.8,5584.2,5471.0,5513.4,66881,77072,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-10,5500.4,5567.4,5412.2,5484.6,60977,75297,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-11,5485.2,5640.0,5472.4,5595.2,63401,73029,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-12,5576.4,5637.6,5551.0,5551.0,46706,62619,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-15,5528.0,5599.8,5498.0,5530.2,51572,61673,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-16,5525.6,5547.4,5433.2,5513.0,59099,51543,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-17,5500.2,5505.0,5330.0,5346.4,48961,41346,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-18,5335.0,5376.0,5177.8,5344.6,51285,27909,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2024-01-19,5342.2,5399.0,5318.0,5322.8,23122,10721,0.0,IM2401,2024-01-19,contract_code_cffex_rule
2023-12-18,5871.8,5880.8,5783.6,5804.0,1312,1270,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2023-12-19,5793.4,5836.8,5774.0,5812.6,1916,1638,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2023-12-20,5826.6,5833.8,5715.0,5724.6,3222,3208,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2023-12-21,5709.6,5772.6,5639.8,5744.2,3538,4037,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2023-12-22,5736.2,5772.0,5675.0,5699.2,2752,4295,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2023-12-25,5697.8,5730.6,5657.2,5692.4,2876,5093,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2023-12-26,5696.8,5696.8,5595.8,5610.4,4655,6111,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2023-12-27,5631.0,5664.6,5594.4,5649.4,2344,5874,0.0,IM2402,2024-02-19,contract_code_cffex_rule
2023-12-28,5648.2,5795.2,5618.8,5780.6,4316,7155,0.0,IM2402,2024-02-19,contract_code_cffex_rule
